CharId,Character,Character Class,Captain Character,Ball Dash,Body Check,Clamber,Laser Beam,Magical Catch,Quick Throw,Sliding Catch,Suction,Super Catch,Super Jump,Tongue Catch,Wall Jump,Weight,Curve Ball Speed,Fast Ball Speed,Curve,Cursed Ball,Curve Control,Fielding Arm,Throwing Power,Speed,Batting Stance,Slap Hit Power,Charge Hit Power,Bunting,Horizontal Hit Trajectory,Vertical Hit Trajectory,Slap Contact Size Multiplier,Charge Contact Size Multiplier,CSS Sort,Char Id Sort,Horizontal Range Near,Horizontal Range Far,Trimmed Bat,Pitching Height,Super Curve,Wall Splat,Captain Star Pitch,Non-Captain Star Pitch,Captain Star Hit,Non-Captain Star Hit
0,Mario,0,1,0,0,0,0,0,0,1,0,0,0,0,1,2,130,168,53,60,50,0,60,50,0,50,64,35,0,0,65,35,1,1,-0.65,0.55,0,1.0,0,0,1,2,1,1
1,Luigi,0,1,0,0,0,0,0,0,0,0,0,1,0,1,2,125,165,56,55,50,0,50,60,1,48,59,40,0,0,70,40,2,2,-0.65,0.65,0,1.0,0,0,2,2,2,2
2,DK,1,1,0,0,1,1,0,0,0,0,0,0,0,0,4,130,165,35,70,50,0,70,40,1,60,80,20,1,1,30,15,9,3,-0.55,0.65,1,1.0,0,0,5,1,5,1
3,Diddy,2,1,0,0,1,0,0,0,0,0,1,0,0,0,1,115,155,80,45,50,0,60,70,1,45,30,20,0,2,45,15,8,4,-0.55,0.55,0,1.0,0,0,6,1,6,2
4,Peach,3,1,0,0,0,0,0,1,0,0,1,0,0,0,2,125,165,70,50,90,0,40,50,0,46,45,45,2,2,80,45,5,5,-0.75,0.5,0,1.0,0,0,11,3,11,2
5,Daisy,0,1,0,0,0,0,0,1,1,0,0,0,0,0,2,120,160,60,55,55,0,40,40,1,49,60,55,0,0,70,40,3,6,-0.65,0.6,0,1.0,0,0,12,3,12,1
6,Yoshi,2,1,0,0,1,0,0,0,0,0,0,0,1,0,2,120,155,51,50,50,0,40,90,1,50,45,25,0,0,50,30,7,7,-0.65,0.65,0,1.0,0,0,9,3,9,2
7,Baby Mario,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,115,150,50,50,50,0,30,70,0,44,30,25,0,2,50,25,39,8,-0.75,0.55,0,1.0,0,0,0,1,0,2
8,Baby Luigi,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,115,150,50,40,50,0,30,80,1,42,20,25,0,2,45,25,40,9,-0.65,0.55,0,1.0,0,0,0,1,0,2
9,Bowser,1,1,0,1,0,1,0,0,0,0,0,0,0,0,4,120,175,35,90,50,0,70,10,1,60,95,20,1,1,40,15,10,10,-0.55,1.45,0,1.0,0,1,7,2,7,1
10,Wario,1,1,0,1,0,0,0,0,1,0,0,0,0,0,3,125,165,30,80,50,0,60,30,0,55,80,25,0,0,50,25,11,11,-0.55,0.75,0,1.0,0,1,3,2,3,1
11,Waluigi,3,1,0,0,0,1,0,0,0,0,0,1,0,0,3,110,169,70,50,60,1,40,40,1,50,1,45,2,2,90,40,6,12,-0.55,0.85,0,1.0,0,0,4,1,4,3
12,Koopa(G),0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,120,160,50,50,50,0,50,40,1,40,50,30,0,0,70,30,24,13,-0.5,0.55,0,1.0,0,0,0,1,0,2
13,Toad(R),0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,115,155,50,50,50,0,50,60,0,45,70,25,0,0,50,30,13,14,-0.95,0.55,0,0.75,0,0,0,2,0,1
14,Boo,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,120,160,90,50,60,1,40,40,1,40,30,50,0,0,85,45,27,15,-0.45,0.85,0,1.1,1,0,0,1,0,2
15,Toadette,2,0,0,0,0,0,0,0,1,0,0,0,0,1,0,115,150,50,50,50,0,40,90,0,44,20,25,0,2,50,30,41,16,-0.65,0.5,0,0.75,0,0,0,1,0,2
16,Shy Guy(R),0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,120,160,50,50,50,1,40,40,1,46,55,25,0,0,50,30,18,17,-0.55,0.65,0,1.0,0,0,0,3,0,1
17,Birdo,0,1,0,1,0,0,0,0,0,1,0,0,0,0,3,125,165,40,60,50,0,60,40,0,55,67,20,0,0,45,30,4,18,-0.55,0.55,0,1.0,0,1,10,2,10,1
18,Monty,2,0,1,0,0,0,0,0,0,0,0,0,0,0,1,120,155,50,50,50,0,30,60,1,45,30,20,0,2,40,30,42,19,-0.55,0.85,0,1.0,0,1,0,3,0,2
19,Bowser Jr,1,1,0,1,0,0,0,0,0,0,0,0,0,1,2,125,166,40,50,50,1,50,40,0,55,75,30,0,1,35,20,12,20,-0.65,0.65,0,1.0,0,0,8,2,8,1
20,Paratroopa(R),3,0,0,0,0,0,0,0,0,0,0,1,0,0,1,115,155,60,50,50,0,60,60,1,48,35,20,0,2,55,30,29,21,-0.55,0.65,0,1.0,0,0,0,1,0,2
21,Pianta(B),1,0,0,0,0,1,0,0,0,0,0,0,0,0,3,125,160,30,50,50,0,80,20,0,51,65,20,1,2,35,15,48,22,-0.45,0.85,0,1.0,0,1,0,3,0,2
22,Pianta(R),1,0,0,0,0,1,0,0,0,0,0,0,0,0,3,125,160,30,50,50,0,80,10,0,51,70,20,1,2,35,15,49,23,-0.45,0.85,0,1.0,0,1,0,2,0,1
23,Pianta(Y),1,0,0,0,0,1,0,0,0,0,0,0,0,0,3,125,165,40,50,50,0,80,10,0,51,65,20,1,2,35,15,50,24,-0.45,0.85,0,1.0,0,1,0,1,0,2
24,Noki(B),2,0,0,0,0,0,0,0,1,0,0,0,0,0,1,115,155,50,50,50,0,60,70,1,43,30,20,0,2,40,15,44,25,-0.65,0.65,0,1.0,0,0,0,3,0,2
25,Noki(R),2,0,0,0,0,0,0,0,1,0,0,0,0,0,1,115,155,50,50,50,0,60,60,1,45,40,20,0,2,40,15,45,26,-0.65,0.65,0,1.0,0,0,0,2,0,1
26,Noki(G),2,0,0,0,0,0,0,0,1,0,0,0,0,0,1,115,155,60,50,50,0,60,60,1,43,30,25,0,2,45,13,46,27,-0.65,0.65,0,1.0,0,0,0,1,0,3
27,Bro(H),1,0,0,1,0,0,0,0,0,0,0,0,0,0,3,125,165,40,50,50,0,60,30,0,10,85,15,1,1,30,20,52,28,-0.65,0.65,1,1.0,0,1,0,2,0,1
28,Toadsworth,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,120,155,50,50,50,0,30,40,0,45,40,45,0,0,85,40,28,29,-0.65,0.55,1,0.75,0,1,0,3,0,3
29,Toad(B),0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,115,155,50,50,50,0,50,70,0,40,60,25,0,0,50,30,14,30,-0.45,0.45,0,0.75,0,0,0,3,0,2
30,Toad(Y),0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,120,160,55,50,50,0,50,60,0,40,60,25,0,0,50,30,15,31,-0.45,0.45,0,0.75,0,0,0,1,0,2
31,Toad(G),0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,115,155,50,50,50,0,50,60,0,45,65,35,0,0,55,35,16,32,-0.45,0.45,0,0.75,0,0,0,3,0,2
32,Toad(P),0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,115,155,50,50,50,0,60,50,0,45,70,25,0,0,50,30,17,33,-0.45,0.45,0,0.75,0,0,0,2,0,1
33,Magikoopa(B),3,0,0,0,0,0,1,0,0,0,0,0,0,0,2,120,150,50,50,40,0,40,20,1,48,40,40,2,2,65,35,31,34,-0.6,0.7,0,1.0,0,0,0,1,0,3
34,Magikoopa(R),3,0,0,0,0,0,1,0,0,0,0,0,0,0,2,120,155,50,50,40,0,40,10,1,50,45,40,2,2,65,35,32,35,-0.6,0.7,0,1.0,0,0,0,1,0,3
35,Magikoopa(G),3,0,0,0,0,0,1,0,0,0,0,0,0,0,2,120,150,60,50,50,0,40,10,1,48,40,40,2,2,65,35,33,36,-0.6,0.7,0,1.0,0,0,0,1,0,3
36,Magikoopa(Y),3,0,0,0,0,0,1,0,0,0,0,0,0,0,2,120,150,70,50,50,0,40,10,1,40,30,40,2,2,65,35,34,37,-0.6,0.7,0,1.0,0,0,0,1,0,3
37,King Boo,1,0,0,0,0,0,0,0,0,0,0,1,0,0,4,125,165,60,50,50,0,70,30,0,55,75,20,0,0,50,15,47,38,-0.65,0.65,0,1.2,1,1,0,2,0,1
38,Petey,1,0,0,1,0,0,0,0,0,0,0,0,0,0,4,130,170,30,50,50,1,100,10,1,60,95,10,1,1,30,10,51,39,-0.65,0.65,0,1.1,0,1,0,3,0,1
39,Dixie,3,0,0,0,1,0,0,0,0,0,0,0,0,0,1,115,155,70,50,50,0,70,60,1,42,25,30,2,2,60,25,26,40,-0.65,0.55,0,1.2,0,0,0,1,0,2
40,Goomba,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,115,155,50,50,50,0,30,50,0,45,40,80,0,0,40,15,23,41,-0.55,0.55,0,0.75,0,0,0,2,0,2
